0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /upload/2023/07/19/de1d0174-4457-4478-b8e8-30c6f9caab13_%EB%A6%AC%EB%B9%99%ED%8F%AC%EC%9D%B8%ED%8A%B8.jpg HTTP/1.1" 200 27943
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /upload/2023/07/18/ab4724b5-89ec-4381-a518-4a23eeb025c8_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /upload/2023/07/17/1dfa2c0e-6415-407d-8eab-0c9d75dc6b97_pngwing.com.png HTTP/1.1" 200 166759
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /resources/images/layout/headerImg/%EB%AA%A8%EB%8B%A5%EB%B6%88.png HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /resources/images/layout/headerImg/%EB%8F%8B%EB%B3%B4%EA%B8%B0.png HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /resources/images/layout/headerImg/%EC%A2%85.png HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /resources/images/layout/headerImg/%EB%82%98%EC%B9%A8%EB%B0%98.png HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /resources/images/layout/headerImg/%EC%B1%85%EA%B3%BC%20%EA%B9%83%ED%8E%9C.png HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /resources/images/layout/headerImg/%EB%B0%B0%EA%B2%BD.png HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /resources/images/layout/headerImg/%EC%B1%85%EC%9E%A5.png HTTP/1.1" 200 3338
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /resources/images/layout/headerImg/logo.png HTTP/1.1" 200 2585
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /alarm/getAlarm/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:02 +0900] "GET /resources/fonts/PF%EC%8A%A4%ED%83%80%EB%8D%94%EC%8A%A4%ED%8A%B8.ttf HTTP/1.1" 200 652944
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /board/list HTTP/1.1" 200 75405
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/css/board/boardList.css HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/js/layout/header.js HTTP/1.1" 200 4232
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/css/layout/header.css HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/js/game/game.js HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/profile/steve.jpg HTTP/1.1" 200 13271
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/08/03/176b1860-6c6d-4fa3-bca7-b145ab766ae2_images%20(2).jpg HTTP/1.1" 200 5723
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/profile/pig.jpg HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/08/01/418e9423-914d-4440-bb55-2ec9809d3133_search.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/08/03/668cf90d-1122-462f-9b7c-0da86cd4641c_%EB%A6%AC%EB%B9%99%ED%8F%AC%EC%9D%B8%ED%8A%B8.jpg HTTP/1.1" 200 27943
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/profile/erd.JPG HTTP/1.1" 200 191596
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/js/board/boardList.js HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/25/86af0b20-a04d-4c69-8b72-6227bbc86559_bg.jpg HTTP/1.1" 200 81436
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/25/a6722de3-8591-41bd-a2cc-474a69be5828_cod.jpg HTTP/1.1" 200 3788
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/19/56ee159d-e082-47e6-bbab-37bd6199c1b3_images%20(1).jpg HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/profile/villager.png HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/19/468ca8fb-e56e-44c9-bcc3-b11d09316a32_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/19/58cae8c2-f038-4458-967c-ff9ad456273e_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(3).jpg HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/19/a892a378-c4a5-472f-8f33-f69e83e03d66_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jpg HTTP/1.1" 200 3745
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/19/de1d0174-4457-4478-b8e8-30c6f9caab13_%EB%A6%AC%EB%B9%99%ED%8F%AC%EC%9D%B8%ED%8A%B8.jpg HTTP/1.1" 200 27943
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/19/4f5bf0f4-1cad-4ed0-b21b-a5d5068629bf_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(2).jpg HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/19/530f91d3-11c4-4746-b64f-430e4bed8ed9_go.jpg HTTP/1.1" 200 131949
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/19/71086921-01f0-4db5-8f11-87931bc4f7f4_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/18/ab4724b5-89ec-4381-a518-4a23eeb025c8_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /upload/2023/07/17/1dfa2c0e-6415-407d-8eab-0c9d75dc6b97_pngwing.com.png HTTP/1.1" 200 166759
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/images/layout/headerImg/%EB%82%98%EC%B9%A8%EB%B0%98.png HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/images/layout/headerImg/%EB%8F%8B%EB%B3%B4%EA%B8%B0.png HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/images/layout/headerImg/%EC%A2%85.png HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/images/layout/headerImg/%EC%B1%85%EA%B3%BC%20%EA%B9%83%ED%8E%9C.png HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/images/layout/headerImg/%EB%AA%A8%EB%8B%A5%EB%B6%88.png HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/images/layout/headerImg/%EB%B0%B0%EA%B2%BD.png HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/images/layout/headerImg/%EC%B1%85%EC%9E%A5.png HTTP/1.1" 200 3338
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/images/layout/headerImg/logo.png HTTP/1.1" 200 2585
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /resources/fonts/PF%EC%8A%A4%ED%83%80%EB%8D%94%EC%8A%A4%ED%8A%B8.ttf HTTP/1.1" 200 652944
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:03 +0900] "GET /alarm/getAlarm/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:05 +0900] "GET /member/mypage?id= HTTP/1.1" 500 3878
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /board/list HTTP/1.1" 200 75405
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /resources/css/board/boardList.css HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /resources/css/layout/header.css HTTP/1.1" 200 3779
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /resources/js/layout/header.js HTTP/1.1" 200 4232
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /resources/js/game/game.js HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/08/03/176b1860-6c6d-4fa3-bca7-b145ab766ae2_images%20(2).jpg HTTP/1.1" 200 5723
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/profile/steve.jpg HTTP/1.1" 200 13271
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/08/03/668cf90d-1122-462f-9b7c-0da86cd4641c_%EB%A6%AC%EB%B9%99%ED%8F%AC%EC%9D%B8%ED%8A%B8.jpg HTTP/1.1" 200 27943
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/profile/pig.jpg HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /resources/js/board/boardList.js HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/profile/erd.JPG HTTP/1.1" 200 191596
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/08/01/418e9423-914d-4440-bb55-2ec9809d3133_search.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/07/25/a6722de3-8591-41bd-a2cc-474a69be5828_cod.jpg HTTP/1.1" 200 3788
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/07/25/86af0b20-a04d-4c69-8b72-6227bbc86559_bg.jpg HTTP/1.1" 200 81436
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/07/19/56ee159d-e082-47e6-bbab-37bd6199c1b3_images%20(1).jpg HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/profile/villager.png HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/07/19/468ca8fb-e56e-44c9-bcc3-b11d09316a32_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/07/19/58cae8c2-f038-4458-967c-ff9ad456273e_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(3).jpg HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/07/19/a892a378-c4a5-472f-8f33-f69e83e03d66_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jpg HTTP/1.1" 200 3745
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/07/19/de1d0174-4457-4478-b8e8-30c6f9caab13_%EB%A6%AC%EB%B9%99%ED%8F%AC%EC%9D%B8%ED%8A%B8.jpg HTTP/1.1" 200 27943
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/07/19/530f91d3-11c4-4746-b64f-430e4bed8ed9_go.jpg HTTP/1.1" 200 131949
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/07/19/4f5bf0f4-1cad-4ed0-b21b-a5d5068629bf_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(2).jpg HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [04/Aug/2023:11:15:07 +0900] "GET /upload/2023/07/19/71086921-01f0-4db5-8f11-87931bc4f7f4_%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 3924
